スル,する
ミズサシ,水差し
モリカエス,盛り返す
コキオロス,こきおろす
ドナベ,土なべ
セキネン,積年
シャブシャブ,しゃぶしゃぶ
アバ,アバ
クサミ,臭み
ナイハツ,内発
トクセツ,特設
インサン,陰惨
リャクレキ,略歴
ジハダ,地肌
インユ,隠喩
インシュウ,因習
コジツケ,こじつけ
シュツゴク,出獄
メイテイ,めいてい
イワハダ,岩肌
スケット,助っ人
チョウフ,貼付
シャスル,しゃする
シメククリ,締めくくり
セイトク,生得
ヒザガシラ,ひざ頭
ウチアウ,撃ち合う
パラグラフ,パラグラフ
アイカタ,相方
フンシャ,噴射
ホスイ,保水
タテジマ,縦じま
ツケイル,つけ入る
リンソン,隣村
ホウラク,崩落
センギリ,千切り
キャビネット,キャビネット
カタヒザ,片膝
ホチュウ,補注
ショナイ,所内
カウントダウン,カウントダウン
ソビョウ,素描
ミチシルベ,道しるべ
ヘヘ,へへ
チンシ,沈思
グラント,グラント
クウカイ,空海
キツケ,着付け
セツゼイ,節税
シャクル,しゃくる
ブライト,ブライト
ヤルセ,やるせ
スイシ,水死
マヨケ,魔よけ
ヒキガエル,ヒキガエル
ハダザワリ,肌触り
サンスクリット,サンスクリット
ギョウザイセイ,行財政
ミソメル,見初める
シタアゴ,下あご
フェニックス,フェニックス
フラン,フラン
メディカル,メディカル
ボクトツ,ぼくとつ
ガイソウ,外装
ヒンシュツ,頻出
ビエン,鼻炎
ビョウレキ,病歴
バクチク,爆竹
オダク,汚濁
ロヘン,炉辺
ロウカク,楼閣
カラブリ,空振り
アンネイ,安寧
ラウドネス,ラウドネス
ザレゴト,ざれ言
ハシャ,覇者
オクヤマ,奥山
イガ,いが
フエキ,賦役
スイホウ,水泡
サクサク,さくさく
キョライ,去来
ソウレン,総連
カツギアゲル,かつぎ上げる
ガンリョウ,顔料
ハカバカシイ,はかばかしい
ダイニュウ,代入
ノリイレ,乗り入れ
ヒラベッタイ,平べったい
キャタツ,脚立
ワカゲ,若気
ホフル,ほふる
アカトンボ,赤とんぼ
ヤマバ,ヤマ場
ブンゴウ,文豪
マイクロバス,マイクロバス
ツカツカ,つかつか
ヘイバ,兵馬
シコタマ,しこたま
ヨコナガ,横長
フデサキ,筆先
オトコモノ,男物
タテイト,縦糸
ヨチヨチ,よちよち
アイアン,アイアン
カクレ,隠れ
イッケイ,一系
ガクユウ,学友
シツカン,質感
レイブン,例文
ナイエン,内縁
ホイル,ホイル
コウマイ,高邁
ヌイツケル,縫いつける
デソロウ,出そろう
ヒャクセン,百戦
ゲロ,下呂
アイセツ,哀切
ナシクズシ,なし崩し
トツギサキ,嫁ぎ先
ゲラゲラ,ゲラゲラ
ミダシナミ,身だしなみ
ホネオリ,骨折
ハレム,ハレム
トモダオレ,共倒れ
カミシバイ,紙芝居
マッチョ,マッチョ
クイツブス,食いつぶす
イキツケ,いきつけ
ヒクヒク,ヒクヒク
ナンタル,何たる
ボウグ,防具
ボソット,ぼそっと
エンモク,演目
カリモノ,借り物
ウエルカム,ウエルカム
スオウ,すおう
ホザク,ほざく
レトルト,レトルト
ゾウスル,ぞうする
センキャク,船客
キバル,きばる
モシュ,喪主
テツジン,鉄人
ギョホウ,漁法
ジョキョク,序曲
リツメイ,立命
ユウグ,遊具
プライス,プライス
キリフキ,霧吹き
タテガミ,立神
シラハタ,白旗
ブッテン,仏典
トゲトゲシイ,とげとげしい
ヒボシ,日干し
チビチビ,ちびちび
イットウ,一等
カイシメル,買い占める
リキ,利器
ランパツ,乱発
ジチョ,自著
ヤヒ,野卑
クツロギ,くつろぎ
トギレトギレ,とぎれとぎれ
カスタマイズ,カスタマイズ
バッチ,バッチ
ナガアメ,長雨
ニギリアウ,握り合う
モルト,モルト
ヒノクルマ,火の車
グンキ,軍旗
アクリョク,握力
アバンギャルド,アバンギャルド
トウト,東都
ソラゴト,虚言
フナカ,不仲
フケコム,老け込む
カッキョ,割拠
ギジン,擬人
ショウチョク,しょうちょく
スミッコ,隅っこ
バイエン,ばい煙
トクヒョウ,得票
ヤマガワ,山側
スイリョク,水力
メキキ,目利き
ニノマイ,二の舞い
ユズリワタス,譲渡す
ナリフリ,なりふり
スワリナオス,座り直す
イラウ,いらう
コウオ,好悪
テゼマ,手狭
ギョウブ,刑部
キョウキャク,橋脚
ミョウケン,妙見
ショゾン,所存
ヤリノコス,やり残す
カクヤク,確約
ウチタオス,打倒す
バリウム,バリウム
キゴ,季語
チョクレツ,直列
シザン,死産
レイエン,霊園
キョシキ,挙式
ガチャ,がちゃ
ギュウバ,牛馬
コオリミズ,氷水
コンパ,コンパ
イエノコ,家の子
ケマリ,蹴鞠
キキョ,起居
ユリカゴ,ゆりかご
ニュウカン,入館
コンリンザイ,金輪際
オウザ,王座
ステミ,捨て身
ビショヌレ,びしょぬれ
エポック,エポック
ヒウチ,ひうち
ミセガマエ,店構え
ソリカエル,反り返る
タイロ,退路
シュクスル,宿する
オカラ,おから
キキャク,棄却
シュクシュ,しゅくしゅ
シショ,史書
アイカギ,合いかぎ
ユカイタ,床板
ココロオキ,心置
クウロ,空路
インゴ,隠語
ヘンザイ,偏在
モンゼキ,門跡
ノリト,祝詞
ビリョク,微力
グビ,具備
トシマ,年増
リョウバ,両刃
サルグツワ,さるぐつわ
クライツク,くらいつく
ムシケラ,虫けら
ロクデナシ,ろくでなし
ホウベイ,訪米
コミュニスト,コミュニスト
ナリアガル,成り上がる
キレナガ,切れ長
ホレイ,保冷
ハダイロ,肌色
ニクハク,肉薄
リンジョウ,臨場
ブチヌク,ぶち抜く
アシデ,あしで
セワシナイ,せわしない
ドウカイ,同会
サラ,さら
ニシカゼ,西風
イチジン,一陣
イソギアシ,急ぎ足
ソナエモノ,供えもの
ツガ,ツガ
カワベ,川辺
タイゴク,大獄
ハイエナ,ハイエナ
ホンチョウ,本庁
スウスウ,スウスウ
カイクグル,かいくぐる
オンシャ,恩赦
レトロ,レトロ
エンボウ,遠望
コンディション,コンディション
スロットル,スロットル
シンショウ,心証
ミスミス,みすみす
ベッショウ,別称
ムチウチ,ムチ打ち
キキヤク,聞き役
ホウユウ,朋友
アタマゴナシ,頭ごなし
ヒルドキ,昼どき
ズアン,図案
ヨコハバ,横幅
ベッケン,別件
ゴクドウ,極道
ゾクゴ,俗語
ジキソ,直訴
メタン,メタン
バイオン,倍音
ヤオモテ,矢面
ヤケクソ,やけくそ
シャブ,シャブ
マウント,マウント
インテリジェンス,インテリジェンス
マムカイ,真向かい
ブクブク,ぶくぶく
オンナゴコロ,女心
コンマ,コンマ
ヒャッカン,百官
インジ,印字
エアライン,エアライン
ナグ,和ぐ
スイイキ,水域
トウボク,倒木
シンシュン,新春
キンゲン,謹厳
ムオン,無音
ジキョ,辞去
リバイバル,リバイバル
ユキズリ,行きずり
バルサ,バルサ
ヒツケ,火付け
トチョウ,都庁
ゴンゲ,権化
アジェンダ,アジェンダ
ハッシュウ,八州
ブロンズ,ブロンズ
コロナ,コロナ
アイシャ,愛車
スベカラク,すべからく
ヒボン,非凡
ナイジ,内示
ハンエン,半円
シジュツ,施術
ジテキ,自適
アサヤケ,朝焼け
スットブ,すっ飛ぶ
ソスイ,疎水
シュセン,主戦
マカイ,魔界
モンゲン,門限
カノン,カノン
コサジ,小さじ
ミトリ,看取
ホック,発句
キチン,キチン
ビクット,びくっと
イチゾン,一存
コタン,枯淡
ウタイアゲル,歌い上げる
キメコマカ,キメ細か
ライレキ,来歴
オクラ,オクラ
タイモウ,体毛
バイシャク,媒酌
ホンゴシ,本腰
キリコロス,切り殺す
ハカラウ,はからう
トッピング,トッピング
テイソク,低速
チョウリョウ,ちょうりょう
シュヒン,主賓
オジケ,おじ気
ルイレイ,類例
カイアサル,買いあさる
ハナフブキ,花吹雪
ズイイ,随意
ベラボウ,べらぼう
ハナクソ,鼻くそ
テゼイ,手勢
ムクミ,むくみ
オセチ,おせち
アンモニア,アンモニア
フエテ,不得手
キャンピング,キャンピング
タリュウ,他流
ゲキサク,劇作
ケバケバシイ,けばけばしい
ヤツアタリ,八つ当たり
クチキキ,口利き
ツタエアウ,伝え合う
ダレソレ,だれそれ
ゲンゴウ,元号
スゴウデ,凄腕
メズ,馬頭
ハツユキ,初雪
イントン,隠遁
フメン,譜面
ケンケイ,県警
テシゴト,手仕事
ソダテ,育て
ボウジュ,傍受
ヘンメイ,変名
インコウ,咽喉
ヒヨドリ,ヒヨドリ
ライウ,雷雨
ウキシズミ,浮き沈み
ショウコン,性根
ハクマイ,白米
ヒキトリ,引き取り
ススケル,すすける
ジュンコウ,巡航
ウジャウジャ,うじゃうじゃ
ズリ,ずり
ツギノマ,次の間
ヘンクツ,偏屈
キッド,キッド
プロパガンダ,プロパガンダ
ユメマボロシ,ゆめまぼろし
モノウリ,物売り
カクシモツ,隠し持つ
ヨウヨウ,当用
ノッピキ,のっぴき
パックリ,ぱっくり
マッテイ,末弟
ノボセル,のぼせる
イワシミズ,岩清水
ゴコク,五穀
ホメチギル,ほめちぎる
ゲサク,戯作
バク,ばく
カンゾク,漢族
フトジ,太字
ヤマベ,山辺
ヘンキョク,編曲
サコツ,鎖骨
アブラミ,脂身
ジョウガイ,場外
ルテン,流転
オキカエ,置き換え
トシゴ,年子
イイグサ,言い草
タタキオコス,たたき起こす
ソウアイ,相愛
キオクレ,気後れ
スイヨセル,吸い寄せる
ツキガタ,月形
ダシジル,だし汁
テナミ,手並み
ヒトエ,ひとえ
ハクジ,白磁
ソバコ,そば粉
イイフクメル,言い含める
ウスマル,薄まる
ブチアタル,ぶち当たる
ブツゼン,仏前
ジュウマイ,従妹
チタン,チタン
レンペイ,練兵
サショウ,詐称
タカ,たか
ヤクミ,薬味
カイイ,怪異
ブツヨク,物欲
キコナシ,着こなし
オモイサダメル,思い定める
パンプス,パンプス
タワワ,たわわ
ヒヨケ,日よけ
キャスティング,キャスティング
スリヨセル,すり寄せる
ハクダク,白濁
テダマ,手玉
ニゲノビル,逃げのびる
コウザイ,功罪
ワセイ,和製
ノッペラボウ,のっぺらぼう
フナベリ,船べり
アハハハ,あははは
チバシル,血走る
モミホグス,もみほぐす
ビョウボツ,病没
ヒロコウジ,広小路
アニヨメ,兄嫁
ショクバイ,触媒
カキマ,垣間
ムズムズ,ムズムズ
アクジョ,悪女
ヒエビエ,冷え冷え
チュウゼイ,中背
テットウ,鉄塔
ウロオボエ,うろ覚え
ブシツケ,不躾
ライジン,雷神
ナラズモノ,ならず者
ソンポ,損保
イタジキ,板敷き
ヒキハガス,引きはがす
ギショウ,偽証
ブッタオレル,ぶっ倒れる
タチハタラク,立ち働く
コロゲル,転げる
ヨセバ,寄せ場
ヨナオシ,世直し
セイホン,製本
ヨカゼ,夜風
カイモドス,買い戻す
カナグリステル,かなぐり捨てる
ネッケツ,熱血
ミズクサイ,水くさい
ワキミズ,湧水
ハレギ,晴れ着
マニアック,マニアック
ノウグ,農具
ナマタマゴ,生卵
ハシクレ,はしくれ
ゴウセツ,豪雪
チンセン,沈潜
ビシュ,美酒
イガミアウ,いがみ合う
ヒヨワ,ひよわ
アマグモ,雨雲
モノワカリ,物分かり
パラソル,パラソル
トガリ,戸狩
スベリドメ,滑り止め
サイイン,斎院
キキコム,聞き込む
リサイ,罹災
グンパツ,群発
ダシヌク,出し抜く
コシラエ,こしらえ
チビル,ちびる
ユブン,油分
アパレル,アパレル
ブンコウ,分校
チョイチョイ,ちょいちょい
ドロマミレ,泥まみれ
マユミ,真由美
イップウ,一風
バイコク,売国
ヤッカム,やっかむ
バリカン,バリカン
ナレアイ,成合
ブラス,ブラス
カエリザク,返り咲く
ドウショク,同色
ワソウ,和装
フミコエル,踏み越える
プロパン,プロパン
ハゴタエ,歯ごたえ
カシミア,カシミア
ヒトリミ,独り身
ドクジャ,毒蛇
ウンチク,うんちく
チャペル,チャペル
ショクブン,職分
クマザサ,クマザサ
エイリアン,エイリアン
シュヌリ,朱塗り
シンシャク,しんしゃく
ムセカエル,むせかえる
タチユク,立ち行く
ワイフ,ワイフ
マヤカシ,まやかし
キュウアイ,求愛
マザコン,マザコン
オオド,大戸
ペチカ,ペチカ
リフ,リフ
ソレイ,祖霊
テンバツ,天罰
ギャクゾク,逆賊
モトジメ,元締め
ツイバム,ついばむ
ゲキスル,げきする
ノゾキミル,のぞき見る
クラミジア,クラミジア
ショウロク,小六
ヌット,ぬっと
エイレイ,英霊
テガルイ,手軽い
フンゼン,憤然
モノカキ,物書き
ウエジニ,餓死に
スカット,スカッと
ツツミガミ,包み紙
ヤトイニン,雇い人
オモイスゴシ,思い過ごし
ショクジュ,植樹
オトシコム,落とし込む
コメヤ,米屋
リョウドナリ,両隣
カルテル,カルテル
ニクルイ,肉類
ユクユク,ゆくゆく
ウサ,宇佐
イケメン,いけメン
ネンエキ,粘液
ダイナマイト,ダイナマイト
プレハブ,プレハブ
ホウバイ,朋輩
ヒナワ,火縄
サラサ,更紗
ヒアブリ,火あぶり
ナガシダイ,流し台
オクレバセ,遅ればせ
ショウモン,証文
ヨヤトウ,与野党
ハシタナイ,はしたない
インタレスト,インタレスト
ルニン,流人
コウセツ,公設
シッテン,失点
チュウソツ,中卒
タタカワス,戦わす
チカチカ,チカチカ
ガイシュウ,外周
ジュウテイ,従弟
チュウチョウキ,中長期
ナマクビ,生首
タイツ,タイツ
エンゲン,淵源
エイダン,英断
スベリダイ,滑り台
ホオヅエ,ほおづえ
ミッテイ,密偵
ワアワア,わあわあ
ヘダテ,隔て
オシヒロゲル,押し広げる
ケイロウ,敬老
シコ,しこ
シンケツ,心血
ツッキル,突っ切る
タチヨミ,立ち読み
サシサワリ,差し障り
オンブズマン,オンブズマン
チュウヅリ,宙吊り
ヘルニア,ヘルニア
ニラミ,にらみ
ゾクジン,俗人
タキコム,炊き込む
ヌノセイ,布製
バタフライ,バタフライ
ワラビ,ワラビ
タブラカス,たぶらかす
ゾウガン,象眼
ソクサイ,息災
ソライロ,空色
サイジ,歳時
メブク,芽吹く
ハヤネ,早寝
ソラオソロシイ,空恐ろしい
レセプション,レセプション
ワルフザケ,悪ふざけ
イコジ,依怙地
カルクチ,軽口
ジレル,じれる
ライド,ライド
ハライセ,腹いせ
グンカ,軍靴
ニギリコブシ,握りこぶし
ガクショウ,楽章
ゴギ,語義
カタカタ,カタカタ
ホウエ,法会
カミコロス,かみ殺す
ハシリガキ,走り書き
ケゴン,華厳
ツリアガル,釣り上がる
クイツナグ,食いつなぐ
ジュウボク,従僕
パセリ,パセリ
エンザン,演算
ペイオフ,ペイオフ
ボサボサ,ボサボサ
タラタラ,たらたら
プルトニウム,プルトニウム
ネツビョウ,熱病
タラコ,タラコ
オヤゴコロ,親心
レンカ,廉価
デニム,デニム
フェロモン,フェロモン
トリニガス,取り逃がす
ヒブタ,火ぶた
ピカ,ピカ
ハンペイ,はんぺい
ウンモ,雲母
エンコン,怨恨
コナユキ,粉雪
ウチマタ,内また
ゼンシ,前史
ツミホロボシ,罪滅ぼし
シワガレル,しわがれる
マトイ,まとい
アマノガワ,天の川
ブラツク,ぶらつく
タンレイ,端麗
ハンポ,半歩
ホソオモテ,細面
マケイヌ,負け犬
ロンセン,論戦
ポテンシャル,ポテンシャル
ツウドク,通読
オリマゼル,織り交ぜる
ヤチ,谷地
ユウスイ,ゆうすい
ソンカイ,損壊
ドレ,どれ
セキシュツ,析出
ズガ,図画
セッタ,雪駄
キツリツ,屹立
シカメツラ,しかめ面
ミズヒキ,水引
キゼワシイ,気ぜわしい
メイザン,名山
シットウ,執刀
ケイリャク,計略
アシカ,アシカ
ヒンセイ,品性
アトメ,跡目
フリシキル,降りしきる
ヒトククリ,一括
バンシャク,晩酌
ゲントウ,幻灯
ダツリョク,脱力
タラフク,たらふく
ケンズル,献ずる
クチキ,朽木
バジュツ,馬術
ゴネル,ごねる
ソンナコンナ,そんなこんな
レンザ,連座
ザリガニ,ザリガニ
ロカタ,路肩
レンビン,れんびん
ヒダリドナリ,左隣
キモッタマ,肝っ玉
トリムスブ,取り結ぶ
タナコ,店子
カザミ,風見
ヤクトウ,薬湯
チクジョウ,築城
セマクルシイ,狭苦しい
ウジコ,氏子
フンゲキ,憤激
キャアキャア,きゃあきゃあ
エイズル,映ずる
マラ,マラ
ベイチュウ,米中
ハタゴヤ,旅篭屋
ラクジツ,落日
カワブネ,川船
ウワクチビル,上唇
オガミ,男神
スゴスゴ,すごすご
セリアガル,せり上がる
サジン,砂塵
スワラス,座らす
セセラワラウ,せせら笑う
ツギハギ,つぎはぎ
タラップ,タラップ
ミジカメ,短め
オスイ,汚水
ニョウソ,尿素
ワカレバナシ,別れ話
テキメン,てきめん
ホシツ,保湿
ヨウマ,洋間
リンゲツ,臨月
オチメ,落ち目
ヤキザカナ,焼き魚
モウキン,猛禽
セイグン,西軍
グイット,ぐいっと
オヤドリ,親鳥
ロスト,ロスト
プラモデル,プラモデル
カンコ,歓呼
タテフダ,立て札
サワリ,さわり
アドバンス,アドバンス
サキホコル,咲き誇る
ヒキオトス,引き落とす
フウブン,風聞
ヨアソビ,夜遊び
タイイキ,帯域
ツタエ,伝え
エレメント,エレメント
カシホン,貸本
ブイヨン,ブイヨン
チフス,チフス
マウシロ,真後ろ
トシコシ,年越し
ギゲイ,技芸
クランク,クランク
ジイ,示威
ゼンチョ,前著
ガホウ,画報
シンミリ,しんみり
サンスル,産する
エンエキ,演繹
ガイコツ,骸骨
ツツヌケ,筒抜け
デッパル,出っ張る
マタゾロ,またぞろ
ホオボネ,ほお骨
テイボク,低木
ヤブン,夜分
センペイ,尖兵
ヨウガイ,要害
オテン,汚点
キャビア,キャビア
ガシュウ,画集
ホネミ,骨身
ムギメシ,麦飯
ゲジ,下知
ベイハン,米飯
メバエ,芽生え
シュツニュウコク,出入国
アッサク,圧搾
ゾンビ,ゾンビ
チッキョ,ちっきょ
カタリベ,語り部
コクグン,国軍
ヒッケン,必見
マンタン,満タン
カクマク,隔膜
ダイガワリ,台替わり
ヨウラン,要覧
ヒワ,秘話
ビョウマ,病魔
クンジ,訓示
コスメ,コスメ
アライナオス,洗い直す
シャクザイ,借財
トジ,途次
ドグマ,ドグマ
センスル,選する
サイクリング,サイクリング
カツジョウ,割譲
グウワ,寓話
ハリカエ,張り替え
フクガン,複眼
キョウショ,教書
ハトウ,波濤
コジュウト,こじゅうと
ミニバン,ミニバン
ロンジン,論陣
テキヒ,適否
キエツ,喜悦
ジュクタツ,熟達
ピシャリ,ぴしゃり
ホウキュウ,俸給
ジョウノウ,上納
リュウリョウ,流量
チギリ,ちぎり
ナンガン,南岸
テキグン,敵軍
ゼンカク,全角
ウラモン,裏門
ソクジョ,息女
トトク,ととく
チョウダ,長蛇
イヌク,射抜く
チリチリ,チリチリ
ハシカ,はしか
トリアイ,取り合い
デュアル,デュアル
インブン,韻文
バサバサ,バサバサ
フンジン,粉塵
カロク,家禄
モウシン,猛進
オオナキ,大泣き
イトメル,射止める
ボルシェビキ,ボルシェビキ
ノウノウ,のうのう
ネツベン,熱弁
ザワツク,ざわつく
ノリアイ,乗り合い
コダシ,小出し
ヤキタテ,焼きたて
ラメ,ラメ
メベリ,目減り
ユウヤク,ゆうやく
ソキュウ,遡及
ケオトス,け落とす
センチメンタル,センチメンタル
フタテ,二手
ヒヤカシ,冷やかし
シナカズ,品数
オロカシイ,愚かしい
コクヒョウ,酷評
ゴウガイ,号外
マガマガシイ,まがまがしい
ホンモウ,本望
ゴマント,ごまんと
ヤブサカ,やぶさか
ツウシ,通史
ニュウエキ,乳液
テキジ,適時
ヨビリン,呼び鈴
フレキシブル,フレキシブル
カンミ,甘味
シッキ,漆器
ケズレル,削れる
シュケイ,主計
イエジ,家路
キキオヨブ,聞き及ぶ
コケムス,こけむす
ツツミカクス,包み隠す
ナミガシラ,波頭
オペ,オペ
ヒエコミ,冷え込み
シキケン,識見
アキアキ,飽き飽き
ガンタイ,眼帯
コンボ,コンボ
レンセツ,連接
ナカタガイ,仲たがい
ギュウ,牛生
キョウジョウ,橋上
ジキサン,直参
タテツク,たてつく
リクアゲ,陸揚げ
セキジツ,昔日
オギナイアウ,補い合う
ガッソウ,合奏
オオワラワ,おおわらわ
ハッピ,法被
ザイキョウ,在京
ヒトカタマリ,ひと塊
テツジョウ,てつじょう
ナント,南都
ソナエツケ,備え付け
ヨウザイ,溶剤
イエイ,遺影
ロウエキ,労役
ジョッキ,ジョッキ
オモイメグラス,思いめぐらす
キンイン,金印
ゲレンデ,ゲレンデ
コシュ,戸主
ワシヅカミ,わしづかみ
ハイエツ,拝謁
アタラ,あたら
フクロダタキ,袋だたき
ウキフネ,浮舟
チャキ,茶器
ヒトヅクリ,人づくり
コミミ,小耳
アリテイ,ありてい
ワヤク,和訳
テッシュウ,撤収
ゲイギ,芸妓
オヤダマ,親玉
ジュソ,じゅそ
ヌリタクル,塗りたくる
ヤセギス,やせぎす
チユウ,知友
ニッカイ,肉塊
アメアガリ,雨上がり
ウスギ,薄着
シタクサ,下草
マシマス,まします
カクシアジ,隠し味
ニガムシ,苦虫
オクリテ,送り手
シュクズ,縮図
クニガラ,国柄
リロ,理路
ヤキアガル,焼き上がる
シシュ,死守
ノットリ,乗っ取り
ベッコウ,べっこう
ハゴロモ,羽衣
セイゼツ,凄絶
ゴワゴワ,ごわごわ
トリハカラウ,取り計らう
バンミン,万民
トリップ,トリップ
キオイ,気負い
テレコム,テレコム
スナボコリ,砂ぼこり
クッキング,クッキング
ススギ,すすぎ
サファリ,サファリ
バスタブ,バスタブ
タテゴト,竪琴
キョウウン,強運
ハクヒョウ,薄氷
ガチガチ,がちがち
ゲンジン,原人
ベッピョウ,別表
オクノテ,奥の手
ナツマツリ,夏祭り
ヒス,比す
エツラク,悦楽
モノクロ,モノクロ
コウミャク,鉱脈
ミツバイ,密売
ダテ,建て
ハッコツ,白骨
シオドキ,潮時
キョウガイ,境涯
カコイコミ,囲い込み
チョウロ,ちょうろ
キャクブ,脚部
レンパイ,連敗
アルゴリズム,アルゴリズム
ニカワ,にかわ
キウイ,キウイ
マモウ,摩耗
キュウラク,急落
チンニュウ,ちんにゅう
ジツギ,実技
シオン,シオン
ヘキレキ,へきれき
ムスメムコ,娘婿
イジケル,いじける
テンチュウ,天誅
キエイル,消え入る
ソトマワリ,外回り
コシキ,古式
キテキ,汽笛
カビクサイ,かび臭い
サンガ,参賀
キョウショウ,狭小
モア,モア
ミズキリ,水切り
レイチョウ,霊長
ニュウザン,入山
スリコミ,刷り込み
ヒイロ,日色
ジンゴ,人語
イエキ,胃液
ラクバ,落馬
フンエン,噴煙
サキバシル,先走る
ハライサゲ,払い下げ
ネンオシ,念押し
アクロバット,アクロバット
ゲセン,下船
ドラクエ,ドラクエ
ドウザン,銅山
ガンリ,元利
キノリ,気乗り
カンキツ,かんきつ
ヨウシュ,洋酒
ヒゴウ,非業
トクトク,とくとく
ケツイン,欠員
ザイガイ,在外
セキガク,碩学
イイアラソウ,言い争う
リツゼン,慄然
ミモダエ,身もだえ
キンタマ,金玉
イシボトケ,石仏
ショウキ,勝機
マツリアゲル,祭り上げる
コブタ,コブタ
アニ,阿仁
ドヤ,ドヤ
シダス,仕出す
タチカワリ,立ち代わり
ネミミ,寝耳
ヤシュウ,夜襲
ハシュ,はしゅ
ザツガク,雑学
サシカエル,差し替える
ハイザイ,廃材
タベノコス,食べ残す
キャラバン,キャラバン
ナキガオ,泣き顔
コロモガエ,衣替え
カンガン,宦官
ツユアケ,梅雨明け
コオトコ,小男
ウスギリ,薄切り
アキビン,空き瓶
ダッコウ,脱稿
ケイソウ,係争
ゲキム,激務
スサム,すさむ
チャクダツ,着脱
タシュウ,他宗
ケツミャク,血脈
カタライ,語らい
キョウリョウ,橋梁
クッキョク,屈曲
アカデミズム,アカデミズム
キリサゲ,切り下げ
ナイフク,内服
メンプ,綿布
アッセイ,圧制
ニヤク,荷役
デント,デンと
ガイチ,外地
カベカケ,壁掛け
リチ,理知
キュウミン,休眠
ウリトバス,売り飛ばす
カゲエ,影絵
ムカイアワセ,向かい合わせ
ワリビク,割り引く
ニガリ,にがり
ショチュウ,暑中
アグム,あぐむ
ウックツ,うっ屈
ユセイ,油性
ミニコミ,ミニコミ
シツジュン,湿潤
アロエ,アロエ
サテツ,砂鉄
ナグリアイ,殴り合い
ウスガタ,薄型
クウソ,空疎
ドッコイ,どっこい
グンカク,軍拡
ヒダン,被弾
ウラミチ,裏道
トモグイ,共食い
マキズシ,巻きずし
キョウリツ,共立
ヨコテ,横手
ラクショウ,楽勝
コダテ,小館
スケッチブック,スケッチブック
パテ,パテ
ドベイ,土塀
スイマ,すいま
ヒトコマ,ひとこま
カリズマイ,仮住まい
ハイゲキ,排撃
ナナクサ,七草
ワケメ,分け目
ヒジキ,ヒジキ
ソウガイ,窓外
シロアリ,シロアリ
カキオロス,書き下ろす
ドシャブリ,土砂降り
カチット,かちっと
ヨニゲ,夜逃げ
アイビキ,合いびき
ナイジュ,内需
ナラビタツ,並び立つ
トナリグミ,隣組
ジヒビキ,地響き
クデン,口伝
アセミズ,汗水
センキ,戦記
セットアップ,セットアップ
キョジツ,虚実
キョウセツ,教説
マキゲ,巻き毛
ミウケ,身請け
ヤケン,野犬
イコン,遺恨
ホルマリン,ホルマリン
チクリ,ちくり
ドウジョ,童女
ロウホウ,朗報
イチク,移築
ナゲシ,なげし
アマツサエ,あまつさえ
カクレミノ,隠れみの
ハラスメント,ハラスメント
デマカセ,出まかせ
サソリ,サソリ
メイヒン,名品
エキガク,疫学
スイサイ,水彩
ヨセアツメル,寄せ集める
カンイン,館員
アンチュウ,暗中
クリイロ,くり色
マエカケ,前掛け
タレナガシ,垂れ流し
ヤリダマ,やり玉
ショクメイ,職名
ヒナタボッコ,ひなたぼっこ
サカダツ,逆だつ
コツツボ,骨つぼ
ムイチモン,無一文
シチミ,七味
ケンパク,建白
キョウジュン,恭順
ラクセイ,落成
ゲンシュウ,減収
ハゲタカ,ハゲタカ
ゴウシュウ,豪州
ホロニガイ,ほろ苦い
トラ,トラ
ドリフト,ドリフト
ネンゲン,年限
ハンコツ,反骨
ゴシキ,五色
シバリ,しばり
ヨミアサル,読みあさる
ワカレミチ,分かれ道
イイネ,言い値
チャリ,ちゃり
トビウツル,飛び移る
テイブ,底部
オシャブリ,おしゃぶり
シタエ,下絵
ヨウフボ,養父母
ワカレメ,分かれ目
クビキリ,首切り
アワヨクバ,あわよくば
シリアス,シリアス
ダラ,陀羅
クンセイ,薫製
ヌスミミル,盗み見る
キタグチ,北口
ユリウゴカス,揺り動かす
ジンメン,人面
ツマミグイ,つまみ食い
トドノツマリ,とどのつまり
フキノトウ,フキノトウ
オンテイ,音程
メイフ,冥府
ニイヅマ,新妻
フブン,不文
カピタン,カピタン
カエウタ,替え歌
トキフセル,説き伏せる
ハイデン,拝殿
マツネン,末年
ゾクシュウ,属州
ロウチン,労賃
チョウビ,長尾
チョウケシ,帳消し
テアイ,手合い
シトネ,しとね
ジッスウ,実数
メイクン,名君
キモイリ,肝いり
ショクフ,織布
チンゴ,鎮護
タカン,多感
キュウダイ,及第
イチエ,一会
ホウゴウ,縫合
オモナガ,面長
モチヤ,餅屋
ラバ,らば
ユメウツツ,夢うつつ
エレクトリック,エレクトリック
ニンテン,任天
ムナサワギ,胸騒ぎ
ヌケガラ,抜け殻
ヒシ,皮脂
ドロクサイ,泥臭い
セソン,世尊
バンジャク,磐石
ブンラク,文楽
ゾウブツ,造物
キレコミ,切れ込み
キュウキン,給金
ジモク,耳目
タスケダス,助け出す
ツチボコリ,つちぼこり
ブッパナス,ぶっ放す
ナグリコロス,殴り殺す
ブリティッシュ,ブリティッシュ
サルドシ,申年
ヒガワリ,日替わり
カイダイ,改題
ミセバン,店番
キンジツ,近日
テヒドイ,手ひどい
バイブル,バイブル
リッコク,立国
デンソウ,伝送
