スル,する
ホウリツ,法律
ツル,つる
ダイブ,だいぶ
ヨヤク,予約
ユレル,揺れる
コウジョウ,工場
ミソ,みそ
ホメル,ほめる
コンヤ,今夜
ブンカ,文化
キモノ,着物
トドケル,届ける
ニンギョウ,人形
ヒロウ,拾う
サワグ,騒ぐ
シンセツ,親切
コム,込む
ヌスム,盗む
テツダウ,手伝う
スベル,滑る
オドル,踊る
コワス,壊す
アルバイト,アルバイト
ブチョウ,部長
テンイン,店員
シュウカン,習慣
ミヤゲ,みやげ
カワク,乾く
ガス,ガス
イワイ,祝い
フクザツ,複雑
ソフ,祖父
ヤワラカイ,柔らかい
カネモチ,金持ち
イノル,祈る
シナモノ,品物
トウトウ,とうとう
タイフウ,台風
シュッセキ,出席
マニアウ,間に合う
コノゴロ,このごろ
シタギ,下着
カイジョウ,会場
ウケツケ,受け付け
キョウカイ,教会
ショウガツ,正月
コクサイ,国際
パパ,パパ
ヒゲ,ひげ
ジンジャ,神社
カタヅケル,片付ける
カイギ,会議
ベル,ベル
アジア,アジア
カザル,飾る
オモチャ,おもちゃ
ショウタイ,招待
カガク,科学
ヤケル,焼ける
カイガン,海岸
ガソリン,ガソリン
リョカン,旅館
ピアノ,ピアノ
ミマイ,見舞い
オレル,折れる
チュウシ,中止
ニュウガク,入学
ヒッコス,引っ越す
ワレル,割れる
キソク,規則
ネッシン,熱心
ユビワ,指輪
シミン,市民
アサイ,浅い
ワリアイ,割合
シタク,支度
アカンボウ,赤ん坊
ケンブツ,見物
コショウ,故障
チソウ,馳走
オル,折る
カチョウ,課長
ムナシイ,むなしい
ネムイ,眠い
サシアゲル,差し上げる
ヨウジ,用事
ハツオン,発音
フベン,不便
ユニュウ,輸入
タス,足す
ドロボウ,泥棒
ヒエル,冷える
イジメル,いじめる
ブンガク,文学
ケシキ,景色
ジシン,地震
ジンコウ,人口
ツカマエル,捕まえる
ニッキ,日記
サカン,盛ん
セイヨウ,西洋
サラダ,サラダ
トリカエル,取り換える
ウエル,植える
テキスト,テキスト
チュウシャ,注射
